
time,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.096207,-0.0206,-0.0094,-0.0149,0.00000000,0.00000000,0.00000000,181.40000000,
0.196753,-0.0907,0.0166,0.0290,28.64806000,75.97269167,0.00000000,181.40000000,
0.296889,-0.0079,-0.0224,-0.0117,28.64806000,75.97269167,0.00000000,181.40000000,
0.397489,-0.2502,-0.0450,0.0670,28.64806000,75.97269167,0.00000000,181.40000000,
0.497692,0.2676,0.0034,-0.0725,28.64806000,75.97269167,0.00000000,181.40000000,
0.598159,-0.1871,-0.0793,-0.0225,28.64806000,75.97269167,0.00000000,181.40000000,
0.698588,0.1312,0.1679,0.0206,28.64806000,75.97269167,0.00000000,181.40000000,
0.799016,0.2145,-0.0817,-0.1871,28.64806000,75.97269167,0.00000000,181.40000000,
0.900765,0.0565,0.0518,-0.0959,28.64806000,75.97269167,0.00000000,181.40000000,
0.999969,-0.0548,-0.0331,0.0317,28.64806000,75.97269167,0.00000000,181.40000000,
1.100280,-0.0259,-0.2106,0.1211,28.64806000,75.97269167,0.00000000,181.40000000,
1.200470,0.0544,-0.0717,0.0441,28.64806000,75.97269167,0.00000000,181.40000000,
1.300657,0.0209,0.1417,0.0782,28.64806000,75.97269167,0.00000000,181.40000000,
1.401051,-0.0740,0.1878,0.1968,28.64806000,75.97269167,0.00000000,181.40000000,
1.501296,-0.1782,-0.0755,0.1260,28.64806000,75.97269167,0.00000000,181.40000000,
1.601937,0.0166,0.2639,-0.0950,28.64806000,75.97269167,0.00000000,181.40000000,
1.702260,-0.3065,-0.1056,0.0349,28.64806000,75.97269167,0.00000000,181.40000000,
1.803087,-0.1866,-0.1373,-0.3851,28.64806000,75.97269167,0.00000000,181.40000000,
1.902893,0.1756,0.2189,-0.0821,28.64806000,75.97269167,0.00000000,181.40000000,
2.003302,0.1417,-0.0480,-0.1891,28.64806000,75.97269167,0.00000000,181.40000000,
2.103531,0.0704,0.0898,-0.1701,28.64806000,75.97269167,0.00000000,181.40000000,
2.203898,-0.1385,-0.0410,0.2921,28.64806000,75.97269167,0.00000000,181.40000000,
2.304622,-0.0445,-0.2142,0.0984,28.64806000,75.97269167,0.00000000,181.40000000,
2.404670,0.2511,0.2197,0.1769,28.64806000,75.97269167,0.00000000,181.40000000,
2.505218,-0.0489,-0.1877,0.0135,28.64806000,75.97269167,0.00000000,181.40000000,
2.605592,-0.3840,0.1358,-0.0776,28.64806000,75.97269167,0.00000000,181.40000000,
2.705689,-0.3588,-0.1030,0.2894,28.64806000,75.97269167,0.00000000,181.40000000,
2.806196,-0.6601,-0.1190,0.4968,28.64806000,75.97269167,0.00000000,181.40000000,
2.906426,-0.2619,0.0417,-0.2355,28.64806000,75.97269167,0.00000000,181.40000000,
3.006471,-0.0601,-0.3706,0.1660,28.64806000,75.97269167,0.00000000,181.40000000,
3.106720,-0.1222,-0.0182,0.2114,28.64806000,75.97269167,0.00000000,181.40000000,
3.207429,-0.1357,-0.1678,0.0408,28.64806000,75.97269167,0.00000000,181.40000000,
